|Voter_Name|Voter_Country|Film_1|Film_2|Film_3|Film_4|Film_5|Film_6|Film_7|Film_8|Film_9|Film_10|Film_11|Film_12|Film_13
83|Adrian Martin|Australia|Love Streams (Cassavetes)|Au hasard Balthazar (Bresson)|L'Enfant secret (Garrel)|Letter from an Unknown Woman (Ophuls)|Once upon a Time in America (Leone)|Peter Ibbetson (Hathaway)|The Awful Truth (McCarey)|By the Bluest of Seas (Barnet)|Badlands (Malick)|Artists and Models (Tashlin)|||
84|Andy Medhurst|UK|The American Soldier (Fassbinder)|Brief Encounter (Lean)|Chinatown (Polanski)|Holiday (Cukor)|Meantime (Leigh)|Meet Me in St. Louis (Minnelli)|The Opposite of Sex (Roos)|Red River (Hawks)|Vertigo (Hitchcock)|Women on the Verge of a Nervous Breakdown (Almodóvar)|||
85|David Meeker|UK|Tih Minh (Feuillade)|Love Me Tonight (Mamoulian)|L'Atalante (Vigo)|Sullivan's Travels (P. Sturges)|Listen to Britain (Jennings)|Laura (Preminger)|Red River (Hawks)|El (Buñuel)|Bob le flambeur (Melville)|Marnie (Hitchcock)|||
86|Joan Mellen|US|Battleship Potemkin (Eisenstein)|Greed (von Stroheim)|Ivan the Terrible (Eisenstein)|The Life of Oharu (Mizoguchi)|McCabe & Mrs. Miller (Altman)|Paisà (Rossellini)|Pather Panchali (S. Ray)|The Searchers (Ford)|Seven Samurai (Kurosawa)|2001: A Space Odyssey (Kubrick)|||
87|Pascal Mérigeau|France|America America (Kazan)|Drifting Clouds (Kaurismäki)|L'Enfance nue (Pialat)|M (Lang)|The Man Who Shot Liberty Valance (Ford)|Monsieur Verdoux (Chaplin)|The Navigator (Keaton)|La Règle du jeu (Renoir)|Sunrise (Murnau)|Trouble in Paradise (Lubitsch)|||
88|Ken Mogg|Australia|Barry Lyndon (Kubrick)|Citizen Kane (Welles)|Claire's Knee (Rohmer)|The Leopard (Visconti)|Marnie (Hitchcock)|La Règle du jeu (Renoir)|The Saga of Anatahan (von Sternberg)|Tokyo Story (Ozu)|Topsy-Turvy (Leigh)|Vertigo (Hitchcock)|||
89|Laura Mulvey|UK|Jeanne Dielman... (Akerman)|Liebelei (Ophuls)|Love Me Tonight (Mamoulian)|The Man Who Shot Liberty Valance (Ford)|Man with a Movie Camera (Vertov)|Pyaasa (Dutt)|Through the Olive Trees (Kiarostami)|Two or Three Things I Know about Her (Godard)|Voyage to Italy (Rossellini)|Xala (Sembéne)|||
90|Kim Newman|UK|Apocalypse Now (Coppola)|Blue Velvet (Lynch)|A Canterbury Tale (Powell, Pressburger)|Citizen Kane (Welles)|Inferno (Argento)|The King of Comedy (Scorsese)|Let's Scare Jessica to Death (Hancock)|Notorious (Hitchcock)|The Shining (Kubrick)|To Have and Have Not (Hawks)|||
91|Katja Nicodemus|Germany|North by Northwest (Hitchcock)|Rio Bravo (Hawks)|All about Eve (Mankiewicz)|2001: A Space Odyssey (Kubrick)|Mean Streets (Scorsese)|Pierrot le fou (Godard)|One, Two, Three (Wilder)|The Wind Will Carry Us (Kiarostami)|Ai no corrida (Oshima)|Celine and Julie Go Boating (Rivette)|||
92|Jacques Noël|Belgium|Citizen Kane (Welles)|2001: A Space Odyssey (Kubrick)|Apocalypse Now (Coppola)|Singin' in the Rain (Kelly, Donen)|Metropolis (Lang)|Modern Times (Chaplin)|Battleship Potemkin (Eisenstein)|Rio Bravo (Hawks)|A Clockwork Orange (Kubrick)|It's a Wonderful Life (Capra)|||
93|Barry Norman|UK|Battleship Potemkin (Eisenstein)|Bringing Up Baby (Hawks)|Citizen Kane (Welles)|Paths of Glory (Kubrick)|Rashomon (Kurosawa)|La Règle du jeu (Renoir)|The Searchers (Ford)|The Seventh Seal (Bergman)|Singin' in the Rain (Kelly, Donen)|Some Like It Hot (Wilder)|||
94|Camille Paglia|US|Citizen Kane (Welles)|La dolce vita (Fellini)|Gone with the Wind (Fleming)|Lawrence of Arabia (Lean)|North by Northwest (Hitchcock)|Orphée (Cocteau)|Persona (Bergman)|2001: A Space Odyssey (Kubrick)|The Ten Commandments (DeMille)|Vertigo (Hitchcock)|||
95|Ellen J. Paglinauan|Philippines|Citizen Kane (Welles)|Tokyo Story (Ozu)|La Règle du jeu (Renoir)|Battleship Potemkin (Eisenstein)|Vertigo (Hitchcock)|2001: A Space Odyssey (Kubrick)|8 1/2 (Fellini)|Rashomon (Kurosawa)|The Passion of Joan of Arc (Dreyer)|The Godfather (Coppola)|||
96|David Parkinson|UK|Intolerance (Griffith)|Battleship Potemkin (Eisenstein)|The Story of a Cheat (Guitry)|Citizen Kane (Welles)|Rome, Open City (Rossellini)|Rashomon (Kurosawa)|Les Vacances de M. Hulot (Tati)|Psycho (Hitchcock)|2001: A Space Odyssey (Kubrick)|Do the Right Thing (Lee)|||
97|Milan Pavlovic|Germany|The Wild Bunch (Peckinpah)|Sunrise (Murnau)|Once upon a Time in America (Leone)|The Searchers (Ford)|Some Like It Hot (Wilder)|Taxi Driver (Scorsese)|North by Northwest (Hitchcock)|Touch of Evil (Welles)|Les Amants du Pont-Neuf (Carax)|The Purple Rose of Cairo (Allen)|||
98|Fernando Martin Peña|Argentina|Cries and Whispers (Bergman)|The General (Keaton)|The Hidden Fortress (Kurosawa)|A Man Escaped (Bresson)|Metropolis (Lang)|October (Eisenstein)|Paths of Glory (Kubrick)|Stagecoach (Ford)|Los Traidores (Gleyzer)|The Trial (Welles)|||
99|Andrey Plakhov|Russia|À bout de souffle (Godard)|Blue Velvet (Lynch)|Breaking the Waves (von Trier)|8 1/2 (Fellini)|L'eclisse (Antonioni)|The Lady from Shanghai (Welles)|Mirror (Tarkovsky)|Nosferatu (Murnau)|Rashomon (Kurosawa)|La Règle du jeu (Renoir)|||
