|Voter_Name|Voter_Country|Film_1|Film_2|Film_3|Film_4|Film_5|Film_6|Film_7|Film_8|Film_9|Film_10|Film_11|Film_12|Film_13
169|John Dahl|US|Chinatown (Polanski)|A Clockwork Orange (Kubrick)|Crimes and Misdemeanors (Allen)|Double Indemnity (Wilder)|The Godfather (Coppola)|Once upon a Time in the West (Leone)|Schindler's List (Spielberg)|Sunset Blvd. (Wilder)|The Treasure of the Sierra Madre (Huston)|Unforgiven (Eastwood)|||
170|Joe Dante|US|Citizen Kane (Welles)|City Lights (Chaplin)|8 1/2 (Fellini)|Les Enfants du paradis (Carné)|The Dead (Brakhage)|Rashomon (Kurosawa)|Psycho (Hitchcock)|Raging Bull (Scorsese)|The Searchers (Ford)|Once upon a Time in the West (Leone)|||
171|Terence Davies|UK|Singin' in the Rain (Kelly, Donen)|Kind Hearts and Coronets (Hamer)|Sweet Smell of Success (Mackendrick)|Cries and Whispers (Bergman)|The Age of Innocence (Scorsese)|The Searchers (Ford)|The Happiest Days of Your Life (Launder)|The Apu Trilogy (S. Ray)|Sunset Blvd. (Wilder)|Meet Me in St. Louis (Minnelli)|||
172|Ernest R. Dickerson|US|Citizen Kane (Welles)|2001: A Space Odyssey (Kubrick)|In the Mood for Love (Wong)|Vertigo (Hitchcock)|Brazil (Gilliam)|Rashomon (Kurosawa)|The Godfather and The Godfather Part II (Coppola)|Malcolm X (Lee)|Ikiru (Kurosawa)|Blade Runner (Scott)|||
173|Bryan Forbes|UK|Belle de jour (Buñuel)|Citizen Kane (Welles)|La Grande Illusion (Renoir)|Great Expectations (Lean)|Jeux interdits (Clément)|Singin' in the Rain (Kelly, Donen)|Some Like It Hot (Wilder)|The Third Man (Reed)|Umberto D. (De Sica)|Whistle down the Wind (Forbes)|||
174|Milos Forman|US|Amarcord (Fellini)|American Graffiti (Lucas)|Citizen Kane (Welles)|City Lights (Chaplin)|The Deer Hunter (Cimino)|Les Enfants du paradis (Carné)|Giant (Stevens)|The Godfather (Coppola)|Miracle in Milan (De Sica)|Raging Bull (Scorsese)|||
175|Brian Gilbert|UK|La Règle du jeu (Renoir)|The Gold Rush (Chaplin)|Jules et Jim (Truffaut)|The Gospel According to St. Matthew (Pasolini)|The Conformist (Bertolucci)|Chimes at Midnight (Welles)|The Godfather and The Godfather Part II (Coppola)|Ivan the Terrible (Eisenstein)|The Fallen Idol (Reed)|The Lady Eve (P. Sturges)|||
176|Lewis Gilbert|UK|All about Eve (Mankiewicz)|Cinema Paradiso (Tornatore)|Citizen Kane (Welles)|Les Enfants du paradis (Carné)|The Gold Rush (Chaplin)|Gone with the Wind (Fleming)|Napoléon (Gance)|Odd Man Out (Reed)|Seven Samurai (Kurosawa)|La strada (Fellini)|||
177|Jonathan Glazer|UK|Andrei Roublev (Tarkovsky)|2001: A Space Odyssey (Kubrick)|Throne of Blood (Kurosawa)|The Godfather Part II (Coppola)|Citizen Kane (Welles)|Cries and Whispers (Bergman)|8 1/2 (Fellini)|The Gospel According to St. Matthew (Pasolini)|Raging Bull (Scorsese)|The Great Dictator (Chaplin)|||
178|Stuart Gordon|US|Behind the Green Door (Mitchell)|Bride of Frankenstein (Whale)|Duck Soup (McCarey)|The Godfather (Coppola)|King Kong (Cooper, Schoedsack)|Psycho (Hitchcock)|Rosemary's Baby (Polanski)|Satyricon (Fellini)|2001: A Space Odyssey (Kubrick)|The Tingler (W. Castle)|The Wild Bunch (Peckinpah)||
179|Philip Haas|US|Ashes and Diamonds (Wajda)|The Great Ecstasy of Woodcarver Steiner (Herzog)|Heimat (Reitz)|L'Horloger de Saint-Paul (Tavernier)|Mishima: A Life in Four Chapters (Schrader)|Oedipus Rex (Pasolini)|The Remains of the Day (Ivory)|Thieves Like Us (Altman)|The Travelling Players (Angelopoulos)|I vitelloni (Fellini)|||
180|Taylor Hackford|US|La Femme d'à côté (Truffaut)|Citizen Kane (Welles)|Seven Samurai (Kurosawa)|The Searchers (Ford)|The Treasure of the Sierra Madre (Huston)|A Clockwork Orange (Kubrick)|Without Anaesthetic (Wajda)|Satyricon (Fellini)|The Official Story (Puenzo)|The Palm Beach Story (P. Sturges)|||
