ID|Title|Director
466|Man by the Shore|Peck
467|A Man Escaped|Bresson
468|The Man in the White Suit|Mackendrick
469|Man of the West|A. Mann
470|The Man Who Shot Liberty Valance|Ford
471|Man with a Movie Camera|Vertov
472|Manhattan|Allen
473|Manila by Night; City after Dark|Bernal
474|Markéta Lazarová|Vlácil
475|Marnie|Hitchcock
476|Mary Poppins|Stevenson
477|Masculin féminin|Godard
478|The Matrix|Wachowskis
479|The Mattei Affair|Rosi
480|A Matter of Life and Death|Powell, Pressburger
481|McCabe & Mrs. Miller|Altman
482|Mean Streets|Scorsese
483|Meantime|Leigh
484|Méditerranée|Pollet
485|Meet Me in St. Louis|Minnelli
486|Meghe dhaka tara|Ghatak
487|Le Mélomane|Méliès
488|Memories of Underdevelopment|Gutiérrez Alea
489|Le Mépris|Godard
490|Mercedes|Nasrallah
491|Meshes of the Afternoon|Deren
492|Metropolis|Lang
493|Midnight Cowboy|Schlesinger
494|Mildred Pierce|Curtiz
495|Minamata|Tsuchimoto
496|Miracle in Milan|De Sica
497|Mirror|Tarkovsky
498|The Misfits|Huston
499|Mishima: A Life in Four Chapters|Schrader
500|Miss Oyu|Mizoguchi
501|Modern Times|Chaplin
502|A Moment of Innocence|M. Makhmalbaf
503|Mon oncle|Tati
504|Mon père avait raison|Guitry
505|Monsieur Verdoux|Chaplin
506|Monsoon Wedding|Nair
507|Monty Python's Life of Brian|Jones
508|Mother India|Mehboob
509|The Mothering Heart|Griffith
510|Mouchette|Bresson
511|Moulin Rouge|Luhrmann
512|Mughal-e-Azam|Asif
513|Mulholland Dr.|Lynch
514|Muna Moto|Dikongue-Pipa
515|The Music Room|S. Ray
516|My Apprenticeship|Donskoi
517|My Brilliant Career|Armstrong
518|My Darling Clementine|Ford
519|My Life as a Dog|Hallström
520|My Love Has Been Burning|Mizoguchi
521|My Man Godfrey|La Cava
522|My Neighbour Totoro|Miyazaki
523|Mädchen in Uniforme|Sagan
524|1900|Bertolucci
525|Naked Dawn|Ulmer
526|Nanook of the North|Flaherty
527|Napoléon|Gance
528|Nashville|Altman
529|The Navigator|Keaton
530|Network|Lumet
531|Night and the City|Dassin
532|Night Cries - A Rural Tragedy|Moffatt
533|Night of the Hunter|Greene
534|The Night of the Hunter|Laughton
535|Nights of Cabiria|Fellini
536|Ninotchka|Lubitsch
537|No End|Kieslowski
538|No. 12 [aka Heaven and Earth Magic]|Harry Smith
539|El norte|Nava
540|North by Northwest|Hitchcock
541|Nosferatu|Murnau
542|Nostalgia|Tarkovsky
543|Not Wanted|Clifton
544|Notorious|Hitchcock
545|La notte|Antonioni
546|La notte di San Lorenzo|Tavianis
547|Now, Voyager|Rapper
548|La Nuit américaine|Truffaut
549|La Nuit du carrefour|Renoir
550|The Nun's Story|Zinnemann
551|O Lucky Man!|Anderson
552|October|Eisenstein
553|Odd Man Out|Reed
554|Oedipus Rex|Pasolini
555|The Official Story|Puenzo
556|Okraina|Barnet
557|The Old Actor|Griffith
558|Olympiad Berlin 1936|Riefenstahl
559|On the Waterfront|Kazan
560|Once upon a Time in America|Leone
561|Once upon a Time in the West|Leone
562|A One and a Two...|Yang
563|One Flew over the Cuckoo's Nest|Forman
564|One, Two, Three|Wilder
565|Only Angels Have Wings|Hawks
566|Opening Night|Cassavetes
567|The Opening of Misty Beethoven|Metzger
568|Opfergang|Harlan
569|The Opposite of Sex|Roos
570|Ordet|Dreyer
571|The Organiser|Monicelli
572|Orlando|Potter
573|Orphée|Cocteau
574|Our Daily Bread|Vidor
575|Our Hospitality|Keaton
576|Out of the Past|Tourneur
577|Out One|Rivette
578|The Outlaw Josey Wales|Eastwood
579|Padre padrone|Tavianis
580|Paisà|Rossellini
581|Pakeezah|Amrohi
582|The Palm Beach Story|P. Sturges
583|Pandora's Box|Pabst
584|The Parallax View|Pakula
585|Les Parapluies de Cherbourg|Demy
586|Paris, Texas|Wenders
587|Partie de campagne|Renoir
588|The Party|Edwards
589|The Passenger|Antonioni
590|La Passion|Godard
591|The Passion of Joan of Arc|Dreyer
592|Pather Panchali|S. Ray
593|Pathfinder|Salkow
594|Paths of Glory|Kubrick
595|Pépé le Moko|Duvivier
596|Perceval|Rohmer
597|Performance|Cammell, Roeg
598|Persona|Bergman
599|Peter Ibbetson|Hathaway
600|The Philadelphia Story|Cukor
601|The Piano|Campion
602|Pickpocket|Bresson
603|Pierrot le fou|Godard
604|The Pillow Book|Greenaway
605|The Pink Panther Strikes Again|Edwards
606|A Place in the Sun|Stevens
607|Le Plaisir|Ophuls
608|The Player|Altman
609|Playtime|Tati
610|Poetic Justice|Frampton
611|A Pot Worth a Million Ryo|Sadao
612|The Producers|Brooks
613|Providence|Resnais
614|Psycho|Hitchcock
615|Pulp Fiction|Tarantino
616|The Puppetmaster|Hou
617|Purab Aur Pachim|Kumar
618|The Purple Rose of Cairo|Allen
619|Pursued|Walsh
620|Pyaasa|Dutt
621|Quadrophenia|Roddam
622|Que Viva Mexico!|Eisenstein
623|Quemada!|Pontecorvo
624|The Quiet Man|Ford
625|The Quince Tree Sun|Erice
626|Rachel, Rachel|Newman
627|Raging Bull|Scorsese
628|Raiders of the Lost Ark|Spielberg
629|Rain Man|Levinson
630|Raining Stones|Loach
631|Rally 'round the Flag, Boys!|McCarey
632|Ran|Kurosawa
633|Random Harvest|LeRoy
634|Rashomon|Kurosawa
635|Rear Window|Hitchcock
636|Rebecca|Hitchcock
637|The Reckless Moment|Ophuls
638|Red Persimmon|Wang
639|Red River|Hawks
640|The Red Shoes|Powell, Pressburger
641|Red Sorghum|Zhang
642|Reds|Beatty
643|La Région centrale|Snow
644|La Règle du jeu|Renoir
645|The Remains of the Day|Ivory
646|Repulsion|Polanski
647|Requiem for a Dream|Aronofsky
648|Reservoir Dogs|Tarantino
649|Richard III|Olivier
650|Ride the High Country|Peckinpah
651|Riff-Raff|Loach
652|Rio Bravo|Hawks
653|Rio Grande|Ford
654|The Rise to Power of Louis XIV|Rossellini
655|Rocco and His Brothers|Visconti
656|Rocky|Avildsen
657|Rolling Thunder|Flynn
658|Roma|Fellini
659|Rome, Open City|Rossellini
660|La Ronde|Ophuls
661|Rope|Hitchcock
662|Rose Hobart|Cornell
663|Rosemary's Baby|Polanski
664|La Roue|Gance
665|The Round Up|Jancsó
666|La Rue Cases-Nègres|Palcy
667|The Runner|Naderi
668|Russian Ark|Sokurov
669|Sacrifice|Tarkovsky
670|The Saga of Anatahan|von Sternberg
671|Salò|Pasolini
672|Salt of the Earth|Biberman
673|Salvatore Giuliano|Rosi
674|Le Samouraï|Melville
675|Sans Soleil|Marker
676|Sansho Dayu|Mizoguchi
677|Sant Tukaram|Fattelal, Damle
678|Sátántangó|Tarr
679|Saturday Night and Sunday Morning|Reisz
680|Satyricon|Fellini
681|Sauve qui peut (la vie)|Godard
682|Sawdust and Tinsel|Bergman
683|The Scarlet Empress|von Sternberg
684|Scenes from a Marriage|Bergman
685|Scenes from under Childhood|Brakhage
686|Schindler's List|Spielberg
687|Screen Tests|Warhol
688|The Searchers|Ford
689|Secrets & Lies|Leigh
690|Senso|Visconti
